fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
0,0.5681818181818182,0.33333333333333337,0.3888888888888889,0.14285714285714285,0.16666666666666666,0.5,0.15384615384615385,0.3294251961187177
1,0.6212121212121213,0.31060606060606066,0.23529411764705882,0.23076923076923078,0.5,0.09090909090909091,0.3157894736842105,0.3189492466312056
2,0.7272727272727274,0.4318181818181818,0.6470588235294118,0.5,0.3333333333333333,0.8181818181818182,0.4,0.3525104429089712
3,0.5636363636363636,0.6727272727272728,0.625,0.4,0.4,0.7272727272727273,0.4,0.4657822980245543
4,0.8611111111111112,0.5818181818181818,0.6875,0.5,0.2,0.9090909090909091,0.2857142857142857,0.3772810742215046
