fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
0,0.6212121212121212,0.36111111111111116,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.25,0.3302746115903059
1,0.7727272727272727,0.6212121212121212,0.5294117647058824,0.4166666666666667,0.8333333333333334,0.36363636363636365,0.5555555555555556,0.32024443400122554
2,0.8909090909090909,0.20454545454545453,0.29411764705882354,0.125,0.16666666666666666,0.36363636363636365,0.14285714285714285,0.3406499831135504
3,0.43636363636363634,0.33636363636363636,0.6875,0.0,0.0,1.0,0.0,inf
4,0.611111111111111,0.32727272727272727,0.4375,0.16666666666666666,0.2,0.5454545454545454,0.18181818181818182,0.3481986990596711
