Configuration,Description,Val_AUC,Test_AUC_Optimal,Test_Acc_Optimal,Test_F1_Optimal
cnn_only,CNN features only (baseline),0.6757264957264957,0.5941103341103341,0.5110294117647058,0.4152631578947369
full,CNN + Hand-crafted + Demographics (full),0.6802525252525252,0.5688927738927738,0.5242647058823529,0.4048701298701299
cnn_demo,CNN + Demographics,0.6622843822843822,0.5550388500388501,0.4757352941176471,0.3066993464052288
cnn_hand,CNN + Hand-crafted features,0.6606798756798757,0.4972377622377622,0.5213235294117646,0.5065789283180588
