fold,val_auc,optimal_threshold,test_auc_default,test_accuracy_default,test_precision_default,test_recall_default,test_f1_default,test_specificity_default,test_auc_optimal,test_accuracy_optimal,test_precision_optimal,test_recall_optimal,test_f1_optimal,test_specificity_optimal
0,0.6363636363636364,0.4975033402442932,0.7083333333333333,0.6666666666666666,0.5,0.3333333333333333,0.4,0.8333333333333334,0.7083333333333333,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5
1,0.4393939393939394,0.5173096060752869,0.5909090909090908,0.5882352941176471,0.4,0.3333333333333333,0.36363636363636365,0.7272727272727273,0.5909090909090908,0.5882352941176471,0.0,0.0,0.0,0.9090909090909091
2,0.4727272727272728,0.4977045953273773,0.21212121212121215,0.47058823529411764,0.2,0.16666666666666666,0.18181818181818182,0.6363636363636364,0.21212121212121215,0.17647058823529413,0.1,0.16666666666666666,0.125,0.18181818181818182
3,0.5090909090909091,0.5265530943870544,0.36363636363636365,0.3125,0.3125,1.0,0.47619047619047616,0.0,0.36363636363636365,0.3125,0.25,0.6,0.35294117647058826,0.18181818181818182
4,0.6944444444444444,0.4779728949069977,0.3090909090909091,0.6875,0.0,0.0,0.0,1.0,0.3090909090909091,0.4375,0.3333333333333333,0.8,0.47058823529411764,0.2727272727272727
