fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
fold0,0.5606060606060607,0.6944444444444445,0.7222222222222222,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.3275361222578097
fold1,0.8333333333333334,0.33333333333333337,0.35294117647058826,0.2727272727272727,0.5,0.2727272727272727,0.35294117647058826,0.306976628417167
fold2,0.6090909090909091,0.4166666666666667,0.5294117647058824,0.0,0.0,0.8181818181818182,0.0,0.3359808022482607
fold3,0.7363636363636364,0.4909090909090909,0.5,0.3333333333333333,0.6,0.45454545454545453,0.42857142857142855,0.34402629105748217
fold4,0.6597222222222222,0.36363636363636365,0.625,0.0,0.0,0.9090909090909091,0.0,0.3566843851812591
