Experiment,Description,N_Runs,Mean_AUC,Std_AUC,Mean_F1,Std_F1,Mean_Recall,Std_Recall,Mean_Precision,Std_Precision,Mean_Specificity,Std_Specificity
hand_only,Hand-crafted features only (Clinical Baseline),25,0.6213,0.1894,0.5029,0.2049,0.5267,0.2294,0.4843,0.1834,0.7303,0.1025
hand_demo,Hand-crafted + Demographics (Clinical Baseline),25,0.6149,0.1788,0.4650,0.1790,0.5933,0.2585,0.3900,0.1446,0.5530,0.1295
cnn_mean,CNN mean pooling (Best CNN Configuration),25,0.6357,0.0984,0.4029,0.2104,0.5600,0.3036,0.3292,0.1828,0.5258,0.3032
best_cnn_hand_demo,CNN + Hand-crafted + Demographics (FULL MODEL),25,0.6323,0.1021,0.4583,0.2455,0.5933,0.3221,0.3909,0.2228,0.5606,0.2308
