Configuration,Description,Val_AUC,Test_AUC_Optimal,Test_Acc_Optimal,Test_F1_Optimal
cnn_only,CNN features only (baseline),0.6005050505050505,0.5705050505050504,0.5922385620915033,0.4719541569541569
cnn_hand,CNN + Hand-crafted features,0.744090909090909,0.5377777777777778,0.5852941176470589,0.4317799847211612
full,CNN + Hand-crafted + Demographics (full),0.7491414141414141,0.43813131313131315,0.545016339869281,0.36217782217782213
cnn_demo,CNN + Demographics,0.6104040404040404,0.4031818181818182,0.43807189542483665,0.20522026992615228
