Configuration,AUC,Accuracy,Precision,Recall,F1,Specificity
CNN-only,0.571±0.068,0.592±0.121,0.462±0.127,0.540±0.116,0.472±0.062,0.620±0.213
CNN+Demo,0.403±0.127,0.438±0.132,0.185±0.138,0.247±0.165,0.205±0.137,0.539±0.242
CNN+Handcrafted,0.538±0.188,0.585±0.147,0.473±0.327,0.513±0.328,0.432±0.219,0.611±0.289
CNN+Demo+Hand,0.438±0.104,0.545±0.094,0.347±0.105,0.393±0.122,0.362±0.110,0.624±0.135
