fold,test_auc,test_accuracy,test_f1,val_auc,n_test,n_progressors,progression_rate,mean_age,std_age,pct_male,mean_tissue,mean_volume
0,0.625,0.6111111111111112,0.36363636363636365,0.5909090909090909,18,6.0,0.3333333333333333,65.16875,5.926405971231557,0.8875,4608.794550624999,2982596.33659375
1,0.6515151515151516,0.7058823529411765,0.5454545454545454,0.6666666666666666,17,6.0,0.35294117647058826,65.93377483443709,5.453645721499439,0.8211920529801324,4161.718773509934,3178238.0785245034
2,0.4090909090909091,0.5882352941176471,0.36363636363636365,0.4727272727272727,17,6.0,0.35294117647058826,65.80794701986756,7.221925165114059,0.9403973509933775,4150.282470198675,4231105.399582119
3,0.5818181818181818,0.5,0.3333333333333333,0.7090909090909091,16,5.0,0.3125,68.56643356643356,5.985380593826083,0.7552447552447552,3939.62383146853,2634592.7133615385
4,0.3272727272727272,0.5,0.3333333333333333,0.6666666666666666,16,5.0,0.3125,66.11805555555556,5.707921777483554,0.8125,3611.1976465277776,2705139.440579861
