fold,val_auc,optimal_threshold,test_auc_default,test_accuracy_default,test_precision_default,test_recall_default,test_f1_default,test_specificity_default,test_auc_optimal,test_accuracy_optimal,test_precision_optimal,test_recall_optimal,test_f1_optimal,test_specificity_optimal
fold_0,0.78125,0.5395070314407349,0.5111111111111111,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.0,0.5111111111111111,0.5714285714285714,0.4166666666666667,0.5,0.45454545454545453,0.6111111111111112
fold_1,0.9375,0.5576262474060059,0.5497076023391814,0.35714285714285715,0.30434782608695654,0.7777777777777778,0.4375,0.15789473684210525,0.5497076023391814,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6842105263157895
fold_2,0.71875,0.5280328392982483,0.695906432748538,0.32142857142857145,0.32142857142857145,1.0,0.4864864864864865,0.0,0.695906432748538,0.6071428571428571,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.631578947368421
