expert,val_auc,test_auc,test_accuracy,test_f1
CNN,0.7272727272727273,0.5694444444444444,0.6666666666666666,0.0
LightGBM,0.5,0.5,0.6666666666666666,0.0
Fusion,0.5113636363636364,0.5694444444444444,0.6666666666666666,0.0
