fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold,repeat_idx,original_fold_idx
rep0_fold0,0.44696969696969696,0.861111111111111,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.35864680705882584,0,0
rep0_fold1,0.9090909090909092,0.30303030303030304,0.47058823529411764,0.2857142857142857,0.3333333333333333,0.5454545454545454,0.3076923076923077,0.3431370114961587,0,1
rep0_fold2,0.7090909090909091,0.696969696969697,0.7058823529411765,0.5714285714285714,0.6666666666666666,0.7272727272727273,0.6153846153846154,0.3353653970506307,0,2
rep0_fold3,0.6000000000000001,0.709090909090909,0.75,0.6,0.6,0.8181818181818182,0.6,0.34471897447514616,0,3
rep0_fold4,0.9444444444444444,0.5363636363636364,0.5625,0.25,0.2,0.7272727272727273,0.2222222222222222,0.41016430371555274,0,4
rep1_fold0,0.44696969696969696,0.861111111111111,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.35864680705882584,1,0
rep1_fold1,0.9090909090909092,0.30303030303030304,0.47058823529411764,0.2857142857142857,0.3333333333333333,0.5454545454545454,0.3076923076923077,0.3431370114961587,1,1
rep1_fold2,0.7090909090909091,0.696969696969697,0.7058823529411765,0.5714285714285714,0.6666666666666666,0.7272727272727273,0.6153846153846154,0.3353653970506307,1,2
rep1_fold3,0.6000000000000001,0.709090909090909,0.75,0.6,0.6,0.8181818181818182,0.6,0.34471897447514616,1,3
rep1_fold4,0.9444444444444444,0.5363636363636364,0.5625,0.25,0.2,0.7272727272727273,0.2222222222222222,0.41016430371555274,1,4
rep2_fold0,0.44696969696969696,0.861111111111111,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.35864680705882584,2,0
rep2_fold1,0.9090909090909092,0.30303030303030304,0.47058823529411764,0.2857142857142857,0.3333333333333333,0.5454545454545454,0.3076923076923077,0.3431370114961587,2,1
rep2_fold2,0.7090909090909091,0.696969696969697,0.7058823529411765,0.5714285714285714,0.6666666666666666,0.7272727272727273,0.6153846153846154,0.3353653970506307,2,2
rep2_fold3,0.6000000000000001,0.709090909090909,0.75,0.6,0.6,0.8181818181818182,0.6,0.34471897447514616,2,3
rep2_fold4,0.9444444444444444,0.5363636363636364,0.5625,0.25,0.2,0.7272727272727273,0.2222222222222222,0.41016430371555274,2,4
rep3_fold0,0.44696969696969696,0.861111111111111,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.35864680705882584,3,0
rep3_fold1,0.9090909090909092,0.30303030303030304,0.47058823529411764,0.2857142857142857,0.3333333333333333,0.5454545454545454,0.3076923076923077,0.3431370114961587,3,1
rep3_fold2,0.7090909090909091,0.696969696969697,0.7058823529411765,0.5714285714285714,0.6666666666666666,0.7272727272727273,0.6153846153846154,0.3353653970506307,3,2
rep3_fold3,0.6000000000000001,0.709090909090909,0.75,0.6,0.6,0.8181818181818182,0.6,0.34471897447514616,3,3
rep3_fold4,0.9444444444444444,0.5363636363636364,0.5625,0.25,0.2,0.7272727272727273,0.2222222222222222,0.41016430371555274,3,4
rep4_fold0,0.44696969696969696,0.861111111111111,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.35864680705882584,4,0
rep4_fold1,0.9090909090909092,0.30303030303030304,0.47058823529411764,0.2857142857142857,0.3333333333333333,0.5454545454545454,0.3076923076923077,0.3431370114961587,4,1
rep4_fold2,0.7090909090909091,0.696969696969697,0.7058823529411765,0.5714285714285714,0.6666666666666666,0.7272727272727273,0.6153846153846154,0.3353653970506307,4,2
rep4_fold3,0.6000000000000001,0.709090909090909,0.75,0.6,0.6,0.8181818181818182,0.6,0.34471897447514616,4,3
rep4_fold4,0.9444444444444444,0.5363636363636364,0.5625,0.25,0.2,0.7272727272727273,0.2222222222222222,0.41016430371555274,4,4
