epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,-4.4876933,0.036165282,-4.5268126,-4.3236814,-4.5098343,-4.4787354,-5.4550805,5.9656,0.005562950904660251,0.96738774,5.965508,0.006062304
10,-4.649078,0.03628467,-4.6998653,-4.567401,-4.678273,-4.624547,-5.4550805,5.9656,0.12415465774767931,0.80600214,5.9612036,0.006082317
15,-4.5106516,0.090151444,-4.652271,-4.286375,-4.584086,-4.4708514,-5.4550805,5.9656,0.28321146300739547,0.9444292,5.940697,0.015111882
20,-4.777511,0.110425174,-4.8724184,-4.363328,-4.8514104,-4.7546945,-5.4550805,5.9656,0.18942112180421533,0.677569,5.945672,0.018510321
25,-4.864699,0.052211918,-4.9116144,-4.6817255,-4.898984,-4.8473454,-5.4550805,5.9656,0.14054448492550708,0.5903815,5.958486,0.008752165
30,-4.8745055,0.14097852,-4.9911003,-4.3239803,-4.9688225,-4.8237476,-5.4550805,5.9656,0.2027267857435714,0.5805752,5.938625,0.023631908
35,-4.8857274,0.17863877,-5.021031,-4.129057,-5.0028,-4.834358,-5.4550805,5.9656,0.1994148030746616,0.5693536,5.93256,0.029944813
40,-4.8772364,0.26387313,-5.058558,-3.6676378,-5.0335064,-4.824226,-5.4550805,5.9656,0.18294259421780912,0.57784396,5.9230103,0.044232454
45,-4.901972,0.26103112,-5.074882,-3.7657504,-5.0586085,-4.8668427,-5.4550805,5.9656,0.18896152219004708,0.55310905,5.9218254,0.043756057
50,-4.947411,0.25132635,-5.099548,-3.788519,-5.088957,-4.9377995,-5.4550805,5.9656,0.19668149927417342,0.5076697,5.921299,0.042129267
55,-4.9449053,0.26799074,-5.1007175,-3.7735467,-5.0939593,-4.91324,-5.4550805,5.9656,0.21642082553953854,0.51017505,5.913392,0.04492268
60,-4.922763,0.29609695,-5.106923,-3.7046518,-5.0934925,-4.8721914,-5.4550805,5.9656,0.23583535257795887,0.532317,5.9027877,0.04963406
65,-4.9276896,0.28710178,-5.1065173,-3.649205,-5.0885763,-4.8848634,-5.4550805,5.9656,0.23567478754509252,0.5273907,5.904533,0.04812622
70,-4.954133,0.24533017,-5.1109133,-3.8256598,-5.091175,-4.9214106,-5.4550805,5.9656,0.24082795569497578,0.5009477,5.911315,0.04112414
75,-4.950065,0.26190418,-5.116676,-3.8129551,-5.0982766,-4.903408,-5.4550805,5.9656,0.23209538042947034,0.5050153,5.9103065,0.043902405
