epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,-3.7336721,0.067946844,-3.9007525,-3.6063962,-3.7620625,-3.6877975,-4.3309693,5.8691096,0.16759765192438156,0.59729743,5.858105,0.011577028
10,-3.837435,0.11140448,-4.016694,-3.5910225,-3.91846,-3.7815602,-4.3309693,5.8691096,0.13431396840143142,0.49353442,5.8551874,0.018981496
15,-4.118135,0.12630239,-4.313955,-3.846676,-4.2249775,-4.0481396,-4.3309693,5.8691096,0.04426866435776188,0.21283406,5.864876,0.021519855
20,-3.996943,0.224354,-4.295987,-3.3310657,-4.147834,-3.9142957,-4.3309693,5.8691096,0.16625243794336483,0.33402652,5.8360047,0.03822624
25,-4.0316477,0.27742752,-4.358501,-3.1095273,-4.229976,-3.9637265,-4.3309693,5.8691096,0.16459471895836933,0.2993227,5.829872,0.0472691
30,-4.1115856,0.28334206,-4.4180455,-3.1552348,-4.305687,-4.050709,-4.3309693,5.8691096,0.16274139568723847,0.21938406,5.8297057,0.048276838
