fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
0,0.4696969696969697,0.33333333333333337,0.3333333333333333,0.25,0.5,0.25,0.3333333333333333,0.3032049558943931
1,0.48484848484848486,0.48484848484848486,0.5294117647058824,0.375,0.5,0.5454545454545454,0.42857142857142855,0.302913452845486
2,0.5363636363636364,0.6287878787878789,0.5882352941176471,0.4444444444444444,0.6666666666666666,0.5454545454545454,0.5333333333333333,0.33514507564062856
3,0.5636363636363636,0.6181818181818183,0.625,0.42857142857142855,0.6,0.6363636363636364,0.5,0.35018205020830223
4,0.8472222222222222,0.38181818181818183,0.375,0.2222222222222222,0.4,0.36363636363636365,0.2857142857142857,0.3414651783040593
