Strategy,Description,Trainable_Params,Mean_AUC,Std_AUC,Mean_Accuracy,Mean_F1,Mean_Final_Gap,Num_Folds
layer4_only,Conservative - Only last residual block (layer4),2400000,0.47919191919191917,0.05448406571648506,0.5124183006535947,0.32575757575757575,0.013785082660515202,5
frozen,Baseline - All layers frozen (current approach),0,0.4761616161616161,0.05777777777777776,0.5124183006535947,0.32575757575757575,0.0058899549124462715,5
