Model,N,Positives,Negatives,Accuracy,Precision,Recall,Specificity,F1-Score,AUC-ROC
prediction_fold,25,7,18,0.72,0.5,0.7142857142857143,0.7222222222222222,0.5882352941176471,0.7896825396825397
FVC@52,25,7,18,0.68,0.46153846153846156,0.8571428571428571,0.6111111111111112,0.6,0.7777777777777778
