Experiment,Description,N_Runs,Mean_AUC,Std_AUC,Mean_F1,Std_F1,Mean_Recall,Std_Recall,Mean_Precision,Std_Precision,Mean_Specificity,Std_Specificity
hand_only,Hand-crafted features only (Clinical Baseline),5,0.5927,0.1817,0.3343,0.2071,0.4200,0.3370,0.3611,0.2534,0.5636,0.3469
hand_demo,Hand-crafted + Demographics (Clinical Baseline),5,0.5518,0.1863,0.4229,0.1318,0.4933,0.2185,0.4944,0.2724,0.6061,0.2134
cnn_mean,CNN mean pooling (Best CNN Configuration),5,0.5305,0.1570,0.3644,0.1873,0.5267,0.2800,0.2838,0.1496,0.4985,0.2870
best_cnn_hand_demo,CNN + Hand-crafted + Demographics (FULL MODEL),5,0.5500,0.1547,0.2439,0.2004,0.3133,0.2696,0.2067,0.1718,0.6000,0.2610
best_cnn_demo,CNN + Demographics (Ablation without hand-crafted),5,0.4105,0.0479,0.2605,0.1848,0.4067,0.3702,0.2202,0.1367,0.4909,0.3572
hand_only_fvc0,❗ Hand-crafted + FVC(0) [CLINICAL BENCHMARK],5,0.6079,0.1520,0.4716,0.1845,0.4667,0.1398,0.5257,0.2819,0.6909,0.2545
best_cnn_hand_fvc0,❗ CNN + Hand + FVC(0) [Does imaging add value over FVC?],5,0.4859,0.0500,0.3331,0.1959,0.4067,0.2585,0.2917,0.1677,0.6045,0.1905
best_cnn_hand_demo_fvc0,❗ FULLY LOADED [Everything: CNN + Hand + Demo + FVC(0)],5,0.4504,0.1256,0.3729,0.1988,0.5667,0.3590,0.3106,0.1753,0.4758,0.3944
