metric,value
val_auc,0.55
optimal_threshold,0.420955091714859
test_threshold_default,0.5
test_auc_default,0.28787878787878785
test_accuracy_default,0.29411764705882354
test_precision_default,0.125
test_recall_default,0.16666666666666666
test_f1_default,0.14285714285714285
test_specificity_default,0.36363636363636365
test_threshold_optimal,0.420955091714859
test_auc_optimal,0.28787878787878785
test_accuracy_optimal,0.4117647058823529
test_precision_optimal,0.375
test_recall_optimal,1.0
test_f1_optimal,0.5454545454545454
test_specificity_optimal,0.09090909090909091
