fold,val_auc,optimal_threshold,test_auc_default,test_accuracy_default,test_precision_default,test_recall_default,test_f1_default,test_specificity_default,test_auc_optimal,test_accuracy_optimal,test_precision_optimal,test_recall_optimal,test_f1_optimal,test_specificity_optimal
0,0.78125,0.5470811128616333,0.5611111111111111,0.4642857142857143,0.4,1.0,0.5714285714285714,0.16666666666666666,0.5611111111111111,0.5357142857142857,0.3333333333333333,0.3,0.3157894736842105,0.6666666666666666
1,0.84375,0.462112694978714,0.39181286549707606,0.42857142857142855,0.23076923076923078,0.3333333333333333,0.2727272727272727,0.47368421052631576,0.39181286549707606,0.32142857142857145,0.2222222222222222,0.4444444444444444,0.2962962962962963,0.2631578947368421
2,0.78125,0.5449416041374207,0.5029239766081872,0.5,0.38095238095238093,0.8888888888888888,0.5333333333333333,0.3157894736842105,0.5029239766081872,0.6071428571428571,0.25,0.1111111111111111,0.15384615384615385,0.8421052631578947
