fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
0,0.5378787878787878,0.5277777777777778,0.3888888888888889,0.3076923076923077,0.6666666666666666,0.25,0.42105263157894735,0.3157807070744493
1,0.7575757575757576,0.30303030303030304,0.23529411764705882,0.23076923076923078,0.5,0.09090909090909091,0.3157894736842105,0.26432056362144823
2,0.7454545454545454,0.5909090909090908,0.47058823529411764,0.36363636363636365,0.6666666666666666,0.36363636363636365,0.47058823529411764,0.31225916965925443
3,0.7272727272727273,0.4,0.375,0.2727272727272727,0.6,0.2727272727272727,0.375,0.3317836931147025
4,0.4583333333333333,0.2727272727272727,0.625,0.0,0.0,0.9090909090909091,0.0,0.346013872950047
