fold,val_auc,optimal_threshold,test_auc_default,test_accuracy_default,test_precision_default,test_recall_default,test_f1_default,test_specificity_default,test_auc_optimal,test_accuracy_optimal,test_precision_optimal,test_recall_optimal,test_f1_optimal,test_specificity_optimal
0,0.43939393939393945,0.45327863097190857,0.4722222222222222,0.5555555555555556,0.25,0.16666666666666666,0.2,0.75,0.4722222222222222,0.5555555555555556,0.4,0.6666666666666666,0.5,0.5
1,0.55,0.420955091714859,0.28787878787878785,0.29411764705882354,0.125,0.16666666666666666,0.14285714285714285,0.36363636363636365,0.28787878787878785,0.4117647058823529,0.375,1.0,0.5454545454545454,0.09090909090909091
2,0.6000000000000001,0.4668636620044708,0.7833333333333333,0.75,1.0,0.3333333333333333,0.5,1.0,0.7833333333333333,0.8125,0.8,0.6666666666666666,0.7272727272727273,0.9
3,0.16363636363636364,inf,0.21818181818181817,0.25,0.18181818181818182,0.4,0.25,0.18181818181818182,0.21818181818181817,0.6875,0.0,0.0,0.0,1.0
4,0.6527777777777778,0.5287957787513733,0.509090909090909,0.375,0.2727272727272727,0.6,0.375,0.2727272727272727,0.509090909090909,0.5,0.2,0.2,0.2,0.6363636363636364
