Model,N,Positives,Negatives,Accuracy,Precision,Recall,Specificity,F1-Score,AUC-ROC
prediction_fold,25,7,18,0.8,0.6,0.8571428571428571,0.7777777777777778,0.7058823529411765,0.8333333333333334
FVC@52,25,7,18,0.68,0.46153846153846156,0.8571428571428571,0.6111111111111112,0.6,0.7777777777777778
