Model,N,Positives,Negatives,Accuracy,Precision,Recall,Specificity,F1-Score,AUC-ROC
prediction_fold,25,7,18,0.8,0.6,0.8571428571428571,0.7777777777777778,0.7058823529411765,0.8333333333333334
FVC@52,25,7,18,0.64,0.4,0.5714285714285714,0.6666666666666666,0.47058823529411764,0.7222222222222222
