Configuration,Description,Val_AUC,Test_AUC_Optimal,Test_Acc_Optimal,Test_F1_Optimal
full,CNN + Hand-crafted + Demographics (full),0.6406565656565657,0.6451515151515151,0.5907679738562092,0.3996031746031746
cnn_demo,CNN + Demographics,0.8075757575757574,0.517070707070707,0.5348039215686274,0.4363025210084034
cnn_hand,CNN + Hand-crafted features,0.6553030303030303,0.5006060606060606,0.5616830065359477,0.45802197802197797
cnn_only,CNN features only (baseline),0.7465151515151515,0.47111111111111115,0.4313725490196079,0.26292374292374293
