Configuration,AUC,Accuracy,Precision,Recall,F1,Specificity
CNN-only,0.471±0.190,0.431±0.139,0.260±0.163,0.353±0.276,0.263±0.147,0.471±0.280
CNN+Demo,0.517±0.117,0.535±0.109,0.382±0.073,0.540±0.136,0.436±0.057,0.532±0.190
CNN+Handcrafted,0.501±0.049,0.562±0.072,0.407±0.052,0.573±0.162,0.458±0.039,0.559±0.184
CNN+Demo+Hand,0.645±0.120,0.591±0.105,0.400±0.226,0.453±0.279,0.400±0.211,0.656±0.159
