fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
0,0.7121212121212122,0.548611111111111,0.6666666666666666,0.5,0.5,0.75,0.5,0.3264265787968438
1,0.6060606060606061,0.5909090909090909,0.47058823529411764,0.36363636363636365,0.6666666666666666,0.36363636363636365,0.47058823529411764,0.2746712501878086
2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401
3,0.5727272727272728,0.7545454545454546,0.8125,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727273,0.3553201145289129
4,0.8333333333333334,0.6181818181818183,0.625,0.42857142857142855,0.6,0.6363636363636364,0.5,0.34223084716699703
