fold,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
0,659.3289794921875,806.1598399200992,0.03370249271392822,641.185791015625,908.811242778169,0.025960564613342285,700.5556030273438,847.2535039762303,-0.1285778284072876
1,642.992431640625,771.0710084032469,0.15567857027053833,580.523193359375,751.4052668167824,0.08397156000137329,605.8171997070312,870.4196545345239,0.10651659965515137
2,658.3488159179688,838.0468363999712,0.08068442344665527,628.1405029296875,756.3206991746292,0.0980563759803772,634.2630004882812,783.5406418942159,0.0039446353912353516
3,640.1981201171875,831.357699789928,0.03201013803482056,749.9420776367188,887.6005224761869,-0.04176640510559082,663.9150390625,809.9275816392476,-0.034331679344177246
4,670.9379272460938,858.5544173201836,-0.04141438007354736,675.06494140625,845.3325529044768,-0.12346601486206055,764.878662109375,882.7173599176579,-0.030335307121276855
