Configuration,AUC,Accuracy,Precision,Recall,F1,Specificity
CNN-only,0.463±0.176,0.443±0.082,0.301±0.080,0.600±0.295,0.393±0.139,0.361±0.176
CNN+Demo,0.474±0.119,0.488±0.047,0.261±0.137,0.427±0.323,0.314±0.182,0.515±0.174
CNN+Handcrafted,0.476±0.154,0.538±0.081,0.290±0.174,0.440±0.338,0.345±0.227,0.588±0.053
CNN+Demo+Hand,0.488±0.103,0.530±0.144,0.364±0.128,0.433±0.103,0.390±0.110,0.577±0.195
