model,val_auc_mean,val_auc_std,test_auc_optimal_mean,test_auc_optimal_std,test_acc_optimal_mean,test_acc_optimal_std,test_f1_optimal_mean,test_f1_optimal_std
SVM_RBF,0.5680372097670863,0.18313941227887223,0.5592783855910137,0.15859530485108037,0.5358968965069472,0.13557550984320804,0.24437096357530358,0.2507530441439965
LogisticRegression_L2,0.5761042481820423,0.10054414795238978,0.5331098089435409,0.2182885440939275,0.43791509760637143,0.04959507358125258,0.2555171070064687,0.23689488459549526
RandomForest,0.5526483566131037,0.1708283023992938,0.5019527789552536,0.19541777310738018,0.5129128684586417,0.1534478431125031,0.17845571218177994,0.24436880110541614
LightGBM,0.5585983751444632,0.14381285350757897,0.5011947320051957,0.17750216850827633,0.39747398606241613,0.07581980602806426,0.34389333991384036,0.1271193943253611
XGBoost,0.5760392525807092,0.10173437337999909,0.501139278731926,0.2112912454551725,0.4373312340388694,0.04538445463507448,0.29950475791489617,0.19277410661424316
LogisticRegression_L1,0.5458943121058925,0.12931937968131807,0.48194147827836337,0.15882011542506258,0.5196528372938578,0.13419073780064078,0.3710059005946248,0.11097569163245209
