Fold,Val Loss,FVC52_MAE,FVC52_RMSE,FVC52_R²,Slope_MAE,Slope_RMSE,Slope_R²
0,1.5589322056089128,0.7215579152107239,1.0395011836270434,0.04798400402069092,0.5875982046127319,0.8860067794596402,-0.04321479797363281
1,1.289771090235029,0.7445166707038879,0.9298991755724632,-0.10365581512451172,0.7058469653129578,0.9695938803264855,-0.15034043788909912
2,1.407767507008144,0.8459312915802002,1.0104790239002042,-0.048128724098205566,0.7206907272338867,0.9766101672936798,-0.017801403999328613
3,1.58100722857884,0.916247546672821,1.084041944470001,-0.02506279945373535,0.72596275806427,0.9456265140781018,-0.003749370574951172
4,1.649277976817555,0.8544142246246338,1.0137525463895414,-0.1261448860168457,0.8806189894676208,1.2428769771280517,-0.0005204677581787109
