fold,val_auc,optimal_threshold,test_auc_default,test_accuracy_default,test_precision_default,test_recall_default,test_f1_default,test_specificity_default,test_auc_optimal,test_accuracy_optimal,test_precision_optimal,test_recall_optimal,test_f1_optimal,test_specificity_optimal
0,0.7222222222222223,0.5337985157966614,0.4848484848484848,0.4117647058823529,0.35714285714285715,0.8333333333333334,0.5,0.18181818181818182,0.4848484848484848,0.47058823529411764,0.36363636363636365,0.6666666666666666,0.47058823529411764,0.36363636363636365
1,0.8666666666666667,0.5631312727928162,0.4583333333333333,0.47058823529411764,0.47058823529411764,1.0,0.64,0.0,0.4583333333333333,0.5882352941176471,1.0,0.125,0.2222222222222222,1.0
2,0.75,0.46648097038269043,0.7833333333333334,0.5882352941176471,0.4166666666666667,1.0,0.5882352941176471,0.4166666666666667,0.7833333333333334,0.4117647058823529,0.3333333333333333,1.0,0.5,0.16666666666666666
3,0.6,0.5129401087760925,0.4615384615384615,0.23529411764705882,0.23529411764705882,1.0,0.38095238095238093,0.0,0.4615384615384615,0.47058823529411764,0.0,0.0,0.0,0.6153846153846154
4,0.5757575757575757,0.5196785926818848,0.5636363636363637,0.3125,0.3125,1.0,0.47619047619047616,0.0,0.5636363636363637,0.625,0.42857142857142855,0.6,0.5,0.6363636363636364
