Configuration,AUC,Accuracy,Precision,Recall,F1,Specificity
CNN-only,0.392±0.093,0.475±0.121,0.303±0.070,0.427±0.221,0.335±0.097,0.497±0.265
CNN+Demo,0.457±0.141,0.381±0.077,0.290±0.081,0.667±0.263,0.402±0.129,0.230±0.164
CNN+Handcrafted,0.523±0.090,0.609±0.154,0.394±0.266,0.447±0.270,0.402±0.240,0.692±0.236
CNN+Demo+Hand,0.523±0.170,0.554±0.129,0.300±0.210,0.393±0.294,0.327±0.227,0.642±0.208
