epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,-4.590834,0.0098183,-4.601481,-4.560363,-4.5982714,-4.587899,-5.4550805,5.9656,0.17081771253765532,0.8642458,5.9639306,0.0016458193
10,-5.1520286,0.013731911,-5.173297,-5.1177473,-5.163786,-5.14365,-5.4550805,5.9656,0.1430743887885455,0.30305192,5.9636507,0.002301849
15,-5.4245615,0.099024154,-5.4741144,-4.88463,-5.4654818,-5.4226503,-5.4550805,5.9656,0.08385009596006215,0.03051854,5.958114,0.016599195
20,-4.7706943,0.9051834,-5.745856,-2.510365,-5.494234,-4.249055,-5.4550805,5.9656,0.07608925208043295,0.684386,5.9653983,0.15173383
25,-5.733108,0.45622438,-5.9723015,-3.888415,-5.9553638,-5.7802887,-5.4550805,5.9656,0.16736875584302494,-0.27802777,5.9063935,0.07647586
30,-6.0788345,0.15357201,-6.1976585,-5.5672164,-6.183978,-6.046898,-5.4550805,5.9656,0.18328516794323485,-0.6237541,5.939372,0.025742928
35,-5.8217306,0.6629885,-6.308003,-3.7101884,-6.2776394,-5.517782,-5.4550805,5.9656,0.10452798905811764,-0.3666504,5.9330506,0.11113526
40,-5.972515,0.6987607,-6.413441,-3.4639168,-6.3965034,-5.791501,-5.4550805,5.9656,0.009129172386668908,-0.5174348,6.0000453,0.11713167
45,-5.838957,0.850096,-6.4652786,-2.8350074,-6.437591,-5.392233,-5.4550805,5.9656,0.10040256290530856,-0.38387683,5.940766,0.14249966
50,-5.7628527,0.9373109,-6.4902787,-2.7485645,-6.4426312,-5.1921387,-5.4550805,5.9656,0.12191311974959305,-0.3077722,5.9248247,0.15711929
