epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,-3.4029496,0.017923739,-3.4324086,-3.3626373,-3.419258,-3.3900805,-4.3309693,5.8691096,0.11097197873613601,0.9280202,5.8671484,0.003053911
10,-3.637983,0.12563011,-3.8582711,-3.3387089,-3.7222204,-3.5948749,-4.3309693,5.8691096,0.21614888199721727,0.69298637,5.843243,0.02140531
15,-4.1192646,0.51792896,-4.600818,-2.7934325,-4.450985,-3.9924006,-4.3309693,5.8691096,0.28299438395349197,0.21170515,5.7440596,0.0882466
20,-4.471916,0.73013467,-4.950856,-1.7405605,-4.93007,-4.3803988,-4.3309693,5.8691096,0.30096383675366273,-0.14094685,5.6921124,0.12440297
25,-4.643789,0.8632058,-5.244007,-2.2415845,-5.191714,-4.6795087,-4.3309693,5.8691096,0.3957737834423347,-0.3128192,5.58403,0.1470761
30,-4.7445207,0.80775136,-5.395252,-2.5801115,-5.358059,-4.485372,-4.3309693,5.8691096,0.3531537756734639,-0.41355136,5.634755,0.13762759
35,-4.9601016,0.722112,-5.555661,-2.6289184,-5.503497,-4.6949034,-4.3309693,5.8691096,0.2697197335849135,-0.6291319,5.7167883,0.12303604
40,-5.2627125,0.5797782,-5.652444,-3.0852606,-5.6306586,-5.191696,-4.3309693,5.8691096,0.2464935567670685,-0.93174267,5.7537003,0.09878469
45,-5.127558,0.7135788,-5.683441,-2.6889265,-5.640401,-4.9970255,-4.3309693,5.8691096,0.24917068459555275,-0.79658896,5.7331104,0.12158213
50,-5.0183854,0.8036985,-5.701369,-2.5159397,-5.6194935,-4.778857,-4.3309693,5.8691096,0.24190721558244144,-0.6874163,5.7280216,0.13693704
