fold,best_epoch,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
0,62,408.0439758300781,514.7705496140975,0.6060003042221069,520.8054809570312,733.8130296608258,0.36496156454086304,525.3524169921875,650.5312492494115,0.33466386795043945
1,56,450.4333190917969,542.7366707253159,0.5816907286643982,460.80657958984375,602.3052589841799,0.4114358425140381,518.2776489257812,741.9520705544261,0.35079652070999146
2,61,417.1054992675781,536.3926092425212,0.6233885884284973,473.0315856933594,615.8412691189184,0.4019947648048401,558.6648559570312,712.6049045579184,0.17613118886947632
3,159,282.56829833984375,406.94018295076245,0.7680704593658447,540.9076538085938,762.0257541579549,0.23215323686599731,552.8185424804688,677.7471182159317,0.2757260799407959
4,218,458.9698791503906,606.352955175449,0.48055583238601685,528.3565673828125,659.946091548393,0.31526631116867065,626.3110961914062,756.3056177895282,0.24363768100738525
