fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
0,0.46969696969696967,0.5416666666666667,0.6666666666666666,0.0,0.0,1.0,0.0,inf
1,0.7727272727272727,0.3333333333333333,0.4117647058823529,0.3,0.5,0.36363636363636365,0.375,0.32189228242761725
2,0.7454545454545455,0.7348484848484849,0.6470588235294118,0.5,0.6666666666666666,0.6363636363636364,0.5714285714285714,0.31088324652064214
3,0.5272727272727273,0.6909090909090909,0.6875,0.5,0.8,0.6363636363636364,0.6153846153846154,0.34399616850739906
4,0.9444444444444444,0.4818181818181818,0.6875,0.5,0.2,0.9090909090909091,0.2857142857142857,0.41220230164503846
