Configuration,Description,Val_AUC,Test_AUC_Optimal,Test_Acc_Optimal,Test_F1_Optimal
cnn_hand,CNN + Hand-crafted features,0.6303729603729604,0.4798912198912199,0.5102941176470588,0.3494505494505495
cnn_demo,CNN + Demographics,0.7066783216783217,0.4651942501942502,0.499264705882353,0.3269040247678019
full,CNN + Hand-crafted + Demographics (full),0.7281973581973582,0.4271756021756022,0.46544117647058825,0.12333333333333334
cnn_only,CNN features only (baseline),0.5786635586635586,0.37070318570318567,0.4279411764705882,0.3716234319814883
