threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
0.1,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.11,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.12,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.13,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.13999999999999999,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.14999999999999997,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.15999999999999998,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.16999999999999998,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.17999999999999997,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.18999999999999995,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.19999999999999996,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.20999999999999996,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.21999999999999995,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.22999999999999995,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.23999999999999994,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.24999999999999992,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.2599999999999999,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.2699999999999999,0.332843137254902,0.02022244495337667,0.332843137254902,0.02022244495337667,1.0,0.0,0.0,0.0,0.4991718426501035,0.022779032075642552
0.2799999999999999,0.34395424836601307,0.03224667096374195,0.33676470588235297,0.02215054460498835,1.0,0.0,0.016666666666666666,0.037267799624996496,0.50351966873706,0.02494802539361006
0.2899999999999999,0.34395424836601307,0.03224667096374195,0.33676470588235297,0.02215054460498835,1.0,0.0,0.016666666666666666,0.037267799624996496,0.50351966873706,0.02494802539361006
0.29999999999999993,0.39256535947712423,0.07711072394193626,0.35559954751131223,0.02779388974431285,1.0,0.0,0.08787878787878786,0.12604020813991162,0.5241357676140285,0.03062650842052965
0.30999999999999994,0.4161764705882353,0.10860844205272951,0.3670098039215686,0.041597260532562935,1.0,0.0,0.12272727272727273,0.17278707098862012,0.5358665205212519,0.044630551422216745
0.3199999999999999,0.6045751633986929,0.13573037751201783,0.48515928515928514,0.1325618889518825,0.7866666666666667,0.27243755655603397,0.5196969696969697,0.26350135867557706,0.5595557521254115,0.11537006209320395
0.32999999999999985,0.642156862745098,0.017589093252950144,0.2777777777777778,0.2545875386086578,0.52,0.48166378315169184,0.7181818181818181,0.2579320174383838,0.36190476190476184,0.33265236564900913
0.33999999999999986,0.667156862745098,0.04860115512919779,0.30317460317460315,0.2803958257499736,0.52,0.48166378315169184,0.7545454545454545,0.23966229684480125,0.38095238095238093,0.34992710611188255
0.34999999999999987,0.6893790849673203,0.05339335133603316,0.32,0.2949576240750525,0.4,0.469041575982343,0.8424242424242424,0.1785051693942199,0.3302197802197802,0.3455449904394852
0.3599999999999999,0.7254901960784313,0.07926941974900112,0.45714285714285713,0.4449260429256411,0.3666666666666667,0.41899350299921784,0.9121212121212121,0.12604020813991162,0.3538461538461538,0.36098338913596034
