threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,fold
0.1,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.11,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.12,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.13,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.13999999999999999,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.14999999999999997,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.15999999999999998,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.16999999999999998,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.17999999999999997,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.18999999999999995,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.19999999999999996,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.20999999999999996,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.21999999999999995,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.22999999999999995,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.23999999999999994,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.24999999999999992,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.2599999999999999,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
0.2699999999999999,0.35294117647058826,0.35294117647058826,1.0,0.0,0.5217391304347826,6,0,11,0,fold_0
