Model,Mean_AUC,Std_AUC,Mean_F1,Std_F1,Mean_Accuracy,Std_Accuracy,Mean_Precision,Mean_Recall
Random Forest,0.7790909090909091,0.018982375470746476,0.4230769230769231,0.24053414152940664,0.7370915032679738,0.06509423303044619,0.7142857142857142,0.33999999999999997
Voting Ensemble,0.7436868686868687,0.044377244881574865,0.42230769230769233,0.09359360722618541,0.6795751633986928,0.0646992800487198,0.5857142857142856,0.35333333333333333
Gradient Boosting,0.7177777777777776,0.04154254546075433,0.4534188034188034,0.13197035110213098,0.6906045751633988,0.07554499609591481,0.5857142857142856,0.3866666666666666
XGBoost,0.7130303030303031,0.08726851841702941,0.43272727272727274,0.056510073701527455,0.6795751633986928,0.0646992800487198,0.5933333333333333,0.36
Logistic Regression,0.6964141414141414,0.08127208952312946,0.518026418026418,0.11058760290947446,0.714297385620915,0.07730312546647927,0.6276190476190476,0.45999999999999996
Stacking Ensemble,0.6575757575757575,0.10739421301011731,0.0,0.0,0.6671568627450981,0.018087504634799096,0.0,0.0
