Feature,Importance,Std
CNN_cnn_feature_1035,0.03910291160967329,0.014435028071567034
CNN_cnn_feature_90,0.030557897269909318,0.012255754410872878
CNN_cnn_feature_148,0.02333922818462078,0.008216761521149986
CNN_cnn_feature_1974,0.017572449060850526,0.0032669106595191125
CNN_cnn_feature_953,0.0156734715615986,0.0068943807068304955
CNN_cnn_feature_370,0.014768556962614579,0.013338877008292557
CNN_cnn_feature_92,0.014450427497357175,0.004282491925000853
CNN_cnn_feature_1846,0.01380507199175065,0.006268063390589064
CNN_cnn_feature_405,0.013576666181014316,0.008858097450834868
CNN_cnn_feature_1964,0.013272355131674723,0.008255917620125347
CNN_cnn_feature_1774,0.012955257469366918,0.004197095702279711
CNN_cnn_feature_202,0.012695087605915506,0.006248767204989762
CNN_cnn_feature_1731,0.01259461602654138,0.009774774365418277
CNN_cnn_feature_1847,0.012487696453001058,0.0029012225803624597
CNN_cnn_feature_1424,0.01247005755202166,0.004102546475716835
CNN_cnn_feature_286,0.01244375439713038,0.007541570483059869
CNN_cnn_feature_1683,0.012265869607679818,0.0027054558898701284
CNN_cnn_feature_832,0.012080863724445222,0.0028424895639432577
CNN_cnn_feature_1168,0.01203791260151799,0.007599357945660224
CNN_cnn_feature_469,0.011653561371361726,0.007351300721313255
CNN_cnn_feature_708,0.011604733435300541,0.003821127052322902
CNN_cnn_feature_477,0.011579567367619005,0.00724281928721388
CNN_cnn_feature_1830,0.011570322182085174,0.0035515907752188807
CNN_cnn_feature_639,0.011525428814071701,0.005969088142815134
CNN_cnn_feature_833,0.01124172189473251,0.003998808861999287
CNN_cnn_feature_654,0.011042138700661683,0.003953538789776989
CNN_cnn_feature_1445,0.010912698425785147,0.005414341864722274
CNN_cnn_feature_728,0.010845009730688967,0.004169041513750041
CNN_cnn_feature_1855,0.010418835985483585,0.005357939011523148
CNN_cnn_feature_1684,0.010259384028315579,0.006283158757723385
CNN_cnn_feature_1618,0.010256922283287232,0.0031689253744255426
CNN_cnn_feature_401,0.010137378276701376,0.004845731550564017
CNN_cnn_feature_667,0.009928484318035533,0.005200949358707857
CNN_cnn_feature_1061,0.00989410270090114,0.004651049872744728
CNN_cnn_feature_1331,0.009684727928319184,0.0026740278733046845
CNN_cnn_feature_824,0.009545864471840025,0.0039605239795180444
CNN_cnn_feature_1690,0.009507093433422712,0.003372322330179516
CNN_cnn_feature_502,0.009358841036741731,0.001754629839757598
CNN_cnn_feature_683,0.008931059002493715,0.003989564791764214
CNN_cnn_feature_1541,0.008713024036810499,0.002650119081263405
CNN_cnn_feature_428,0.008471103690216667,0.00421488565969683
