fold_idx,val_auc,test_auc,test_acc,test_f1
0,0.7361111111111112,0.30303030303030304,0.6470588235294118,0.0
1,0.7666666666666667,0.5277777777777778,0.5294117647058824,0.5
2,0.5192307692307693,0.6833333333333333,0.29411764705882354,0.45454545454545453
3,0.6363636363636365,0.23076923076923073,0.7058823529411765,0.0
4,0.6363636363636364,0.6727272727272727,0.3125,0.47619047619047616
