fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
0,0.4090909090909091,0.7222222222222223,0.3888888888888889,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.47619047619047616,0.310230743279844
1,0.6439393939393939,0.4545454545454546,0.5882352941176471,0.3333333333333333,0.16666666666666666,0.8181818181818182,0.2222222222222222,0.3281875194718477
2,0.8363636363636364,0.606060606060606,0.5882352941176471,0.4,0.3333333333333333,0.7272727272727273,0.36363636363636365,0.33562709361812326
3,0.5272727272727272,0.509090909090909,0.6875,0.0,0.0,1.0,0.0,0.37626027843565596
4,0.7916666666666667,0.4727272727272728,0.6875,0.0,0.0,1.0,0.0,0.41868464707324154
