Feature,Importance,Std
CNN_cnn_feature_1035,0.03776402585187169,0.020322998368253527
CNN_cnn_feature_90,0.025057119490874368,0.011042983736431505
CNN_cnn_feature_924,0.023638561847595784,0.01723346867736044
CNN_cnn_feature_148,0.022485243510445195,0.008590916446997334
CNN_cnn_feature_405,0.01746712751846003,0.006396472208186589
CNN_cnn_feature_1974,0.014920364212692305,0.007095556875658256
CNN_cnn_feature_1185,0.014823288747373143,0.010162697524352301
CNN_cnn_feature_253,0.014611729761853768,0.010251836699306852
CNN_cnn_feature_469,0.014501177694706009,0.012382385354057748
CNN_cnn_feature_639,0.01321487929953814,0.00842436876322341
CNN_cnn_feature_953,0.013061394638694926,0.007879746946126052
CNN_cnn_feature_202,0.012803444124473129,0.011097822006763923
CNN_cnn_feature_335,0.012715840432397837,0.007893563063024592
CNN_cnn_feature_48,0.01244251214275243,0.012124775597344543
CNN_cnn_feature_1774,0.012373202999492863,0.011288836605124622
CNN_cnn_feature_1271,0.012345958653819874,0.014025114001337971
CNN_cnn_feature_366,0.01204094855015801,0.00989905476984336
CNN_cnn_feature_824,0.012018329626074329,0.008763316259995085
CNN_cnn_feature_1861,0.011930877685145178,0.006288528632827583
CNN_cnn_feature_833,0.011851901139208101,0.0041102692135369075
CNN_cnn_feature_708,0.011373962538550738,0.003998936017090021
CNN_cnn_feature_1684,0.011148321652669727,0.006602920834959949
CNN_cnn_feature_832,0.011006438930724784,0.003617303985843238
CNN_cnn_feature_1704,0.010860289900760833,0.009422504239564743
CNN_cnn_feature_1349,0.010737493164948658,0.004631667430621011
CNN_cnn_feature_477,0.01060599284499022,0.010029390698629707
CNN_cnn_feature_332,0.010602427891469837,0.0067082616493438895
CNN_cnn_feature_772,0.010560987188456755,0.008980935569804227
CNN_cnn_feature_1512,0.010315575280374502,0.005839737612930949
CNN_cnn_feature_1226,0.010178158126165916,0.005232972714879591
CNN_cnn_feature_1257,0.010157113705416809,0.006506882636082486
CNN_cnn_feature_748,0.010093420153833677,0.007546770148214093
CNN_cnn_feature_1407,0.010074817430410263,0.007052669212877354
CNN_cnn_feature_1586,0.009914634438277475,0.005084154524038506
CNN_cnn_feature_1776,0.009623334684457373,0.006256120690084646
CNN_cnn_feature_612,0.009410087522927478,0.00739060692023541
