Model,Mean_AUC,Std_AUC,Mean_F1,Std_F1,Mean_Accuracy,Std_Accuracy
Random Forest,0.8064845223107255,0.04916233355282835,0.5056191895536158,0.1473213747420623,0.7498692284536654,0.0630785853074381
Stacking Ensemble,0.735860659245686,0.11507208647455962,0.16487179487179487,0.1359206559746478,0.6838225350808133,0.04187776596761918
XGBoost,0.7074625896978837,0.07789258785556215,0.433644871672853,0.14233820162766853,0.7136026721622748,0.028068199997887674
Logistic Regression,0.7031464459485849,0.09627345351222971,0.5707464687211522,0.1432877474007808,0.735549020515908,0.06680687303927929
Voting Ensemble,0.69979417581824,0.07554994939820152,0.44360875683456324,0.10207034648279333,0.6792695549483629,0.05203612437646298
Gradient Boosting,0.6066163278195364,0.11194951137423441,0.3805748102496507,0.10561222505515791,0.6316821423609503,0.08469158973229594
