epoch,train_auc,val_auc,gap,is_overfitting
0,0.6167557932263814,0.6527777777777777,-0.03602198455139627,False
1,0.5258467023172906,0.6527777777777777,-0.1269310754604871,False
2,0.5169340463458111,0.6527777777777777,-0.1358437314319666,False
3,0.6720142602495544,0.6388888888888888,0.03312537136066551,False
4,0.5329768270944741,0.6388888888888888,-0.1059120617944147,False
5,0.5329768270944741,0.6388888888888888,-0.1059120617944147,False
6,0.6417112299465241,0.625,0.016711229946524075,False
7,0.6292335115864528,0.625,0.004233511586452798,False
8,0.48841354723707664,0.625,-0.13658645276292336,False
9,0.500891265597148,0.625,-0.12410873440285197,False
10,0.6060606060606061,0.625,-0.018939393939393923,False
11,0.6292335115864528,0.625,0.004233511586452798,False
12,0.5472370766488412,0.625,-0.07776292335115875,False
13,0.5793226381461676,0.625,-0.04567736185383242,False
14,0.6327985739750445,0.625,0.007798573975044465,False
15,0.590017825311943,0.625,-0.03498217468805698,False
16,0.6559714795008913,0.625,0.030971479500891297,False
17,0.4741532976827095,0.625,-0.15084670231729053,False
18,0.6007130124777182,0.625,-0.024286987522281756,False
19,0.6524064171122995,0.625,0.02740641711229952,False
20,0.5579322638146168,0.625,-0.0670677361853832,False
