Configuration,Description,Val_AUC,Test_AUC_Optimal,Test_Acc_Optimal,Test_F1_Optimal
full,CNN + Hand-crafted + Demographics (full),0.702929292929293,0.5503379953379953,0.5132352941176471,0.338562091503268
cnn_only,CNN features only (baseline),0.7276806526806527,0.4947125097125098,0.4875,0.39693779904306215
cnn_hand,CNN + Hand-crafted features,0.6358080808080808,0.48003885003885005,0.3919117647058824,0.31355742296918765
cnn_demo,CNN + Demographics,0.6525641025641026,0.47309634809634815,0.5022058823529412,0.31809523809523804
