Fold,Val Loss,MAE,RMSE,R²
0,7.360984815870013,3.7908856868743896,4.580296128540389,-0.015429258346557617
1,8.901818166460309,4.131894588470459,6.006750124493732,-0.04017817974090576
2,8.419724655151366,4.172920227050781,5.504410449204396,-0.003438234329223633
3,7.158872638429914,3.7037112712860107,4.955376435270521,-0.08936071395874023
4,9.712180301121302,4.821238994598389,6.210181692908473,-0.08069396018981934
