metric,value
val_auc,0.7499999999999999
optimal_threshold,0.5135389566421509
test_threshold_default,0.5
test_auc_default,0.55
test_accuracy_default,0.4117647058823529
test_precision_default,0.3076923076923077
test_recall_default,0.8
test_f1_default,0.4444444444444444
test_specificity_default,0.25
test_threshold_optimal,0.5135389566421509
test_auc_optimal,0.55
test_accuracy_optimal,0.5882352941176471
test_precision_optimal,0.4
test_recall_optimal,0.8
test_f1_optimal,0.5333333333333333
test_specificity_optimal,0.5
