feature_type,fold,val_loss,val_mae,val_r2,val_rmse,val_mse
handcrafted,0,27.244794424842386,3.687607526779175,0.011795222759246826,5.219654849980953,27.244796752929688
handcrafted,1,34.38030223846435,4.073321342468262,-0.028460383415222168,5.86347187502415,34.38030242919922
handcrafted,2,31.581738415886374,4.2881999015808105,0.13711076974868774,5.619763458812819,31.581741333007812
handcrafted,3,35.7073481968471,4.678663730621338,-0.03660464286804199,5.97556255677012,35.70734786987305
handcrafted,4,45.25896347893609,4.893068790435791,0.12491714954376221,6.727478035926758,45.25896072387695
demographics,0,26.428251266479492,3.5961265563964844,0.01633363962173462,5.140841122985831,26.428247451782227
demographics,1,34.26435470581055,4.059937000274658,-0.024991869926452637,5.85357623216872,34.26435470581055
demographics,2,30.228961944580078,4.1191911697387695,0.15059465169906616,5.498087116859834,30.228961944580078
demographics,3,35.712833404541016,4.663577079772949,-0.036763787269592285,5.976021217318739,35.71282958984375
demographics,4,51.59280776977539,5.150635719299316,0.0024520158767700195,7.182813891447412,51.59281539916992
full,0,27.162413400762222,3.6958963871002197,0.014783322811126709,5.21175715507089,27.162412643432617
full,1,34.28674534388951,4.058919429779053,-0.025661706924438477,5.855488619983798,34.286746978759766
full,2,31.555041565614587,4.347456932067871,0.13784033060073853,5.617387155266089,31.555038452148438
full,3,34.95082484654018,4.6933135986328125,-0.014642119407653809,5.911921931390126,34.95082092285156
full,4,46.33430237240262,4.8663482666015625,0.10412544012069702,6.806930645274,46.33430480957031
