fold,mae,rmse,r2
1,675.0478515625,844.2706911885548,-0.006623268127441406
2,433.0216979980469,508.39611463405186,0.5431196689605713
3,670.2980346679688,898.6228352317785,0.19105881452560425
4,583.537841796875,700.3071424382305,0.4640088677406311
5,347.03302001953125,446.34360012774914,0.294184148311615
