fold,mae,rmse,r2
1,668.39111328125,853.0058250094193,-0.027560710906982422
2,452.5174865722656,535.7106553448419,0.4927073121070862
3,697.3538208007812,885.2562482129115,0.2149450182914734
4,655.6287841796875,774.8523649702568,0.34382688999176025
5,384.29638671875,475.1150025257043,0.2002573013305664
