Configuration,Description,Val_AUC,Test_AUC_Optimal,Test_Acc_Optimal,Test_F1_Optimal
2_cnn_max,[BLOCK 2] CNN with max pooling,0.5366161616161615,0.5343939393939394,0.5949346405228758,0.3065656565656566
2_cnn_mean,[BLOCK 2] CNN with mean pooling,0.4718181818181818,0.48984848484848487,0.5705882352941176,0.3830065359477124
2_cnn_max_mean,[BLOCK 2] CNN with max+mean pooling (concatenated),0.571060606060606,0.48797979797979796,0.40645424836601307,0.4034210526315789
1_hand_demo,[BLOCK 1] Hand-crafted + Demographics,0.4206060606060606,0.45292929292929285,0.43129084967320264,0.36955182072829135
1_hand_only,[BLOCK 1] Hand-crafted features only,0.4863131313131313,0.4520202020202021,0.5727941176470588,0.34396270396270395
