feature,display_name,group,mean_abs_shap,std_abs_shap
cnn_emb_1344,cnn_emb_1344,CNN Embedding,6.145562666225755e-05,0.0001229112533245151
cnn_emb_625,cnn_emb_625,CNN Embedding,6.13709021555555e-05,0.000122741804311111
cnn_emb_456,cnn_emb_456,CNN Embedding,6.131787121734425e-05,0.0001226357424346885
cnn_emb_1432,cnn_emb_1432,CNN Embedding,6.12062647167536e-05,0.0001224125294335072
cnn_emb_1479,cnn_emb_1479,CNN Embedding,6.113858953894305e-05,0.00012227717907788607
cnn_emb_1955,cnn_emb_1955,CNN Embedding,6.0015204805349506e-05,0.00012003040961069901
cnn_emb_833,cnn_emb_833,CNN Embedding,5.999192280616658e-05,0.00011998384561233316
cnn_emb_739,cnn_emb_739,CNN Embedding,5.9750414185256705e-05,7.388851602923498e-05
cnn_emb_562,cnn_emb_562,CNN Embedding,5.965957221212376e-05,0.00011931914442424752
cnn_emb_273,cnn_emb_273,CNN Embedding,5.9397926936721485e-05,0.00011879585387344297
cnn_emb_639,cnn_emb_639,CNN Embedding,5.903031494952312e-05,0.00011806062989904624
cnn_emb_1125,cnn_emb_1125,CNN Embedding,5.856056293938067e-05,0.00011712112587876136
cnn_emb_45,cnn_emb_45,CNN Embedding,5.851867578989297e-05,8.004236789934638e-05
cnn_emb_407,cnn_emb_407,CNN Embedding,5.839099066169079e-05,0.00011678198132338157
cnn_emb_949,cnn_emb_949,CNN Embedding,5.835422705031449e-05,0.00011670845410062896
cnn_emb_443,cnn_emb_443,CNN Embedding,5.755766087499226e-05,0.00011511532174998452
cnn_emb_197,cnn_emb_197,CNN Embedding,5.749986206208772e-05,0.00011499972412417545
cnn_emb_988,cnn_emb_988,CNN Embedding,5.7188275487928885e-05,0.00011437655097585777
cnn_emb_1968,cnn_emb_1968,CNN Embedding,5.628226265429785e-05,0.00011256452530859568
cnn_emb_508,cnn_emb_508,CNN Embedding,5.602683574882865e-05,0.00011205367149765732
cnn_emb_23,cnn_emb_23,CNN Embedding,5.5612133862592705e-05,7.645129214155664e-05
cnn_emb_38,cnn_emb_38,CNN Embedding,5.46160748516221e-05,0.0001092321497032442
cnn_emb_184,cnn_emb_184,CNN Embedding,5.4355807564744226e-05,0.00010871161512948844
cnn_emb_983,cnn_emb_983,CNN Embedding,5.423840763673343e-05,0.00010847681527346686
cnn_emb_1553,cnn_emb_1553,CNN Embedding,5.39268733618505e-05,0.000107853746723701
cnn_emb_1435,cnn_emb_1435,CNN Embedding,5.385816068578884e-05,0.00010771632137157768
cnn_emb_962,cnn_emb_962,CNN Embedding,5.385479046687919e-05,0.00010770958093375838
cnn_emb_505,cnn_emb_505,CNN Embedding,5.380899051663159e-05,0.00010761798103326318
cnn_emb_758,cnn_emb_758,CNN Embedding,5.341841389002059e-05,0.00010683682778004119
cnn_emb_520,cnn_emb_520,CNN Embedding,5.263126298765167e-05,0.00010526252597530333
cnn_emb_54,cnn_emb_54,CNN Embedding,5.229941758945792e-05,0.00010459883517891584
cnn_emb_363,cnn_emb_363,CNN Embedding,5.027947127318924e-05,0.00010055894254637848
cnn_emb_308,cnn_emb_308,CNN Embedding,5.0097605008556523e-05,0.00010019521001711306
cnn_emb_1167,cnn_emb_1167,CNN Embedding,4.95635605526471e-05,9.184695072364335e-05
cnn_emb_689,cnn_emb_689,CNN Embedding,4.939699278276339e-05,9.879398556552679e-05
cnn_emb_111,cnn_emb_111,CNN Embedding,4.907259043747813e-05,9.814518087495626e-05
cnn_emb_611,cnn_emb_611,CNN Embedding,4.9049941095377595e-05,9.809988219075519e-05
cnn_emb_561,cnn_emb_561,CNN Embedding,4.886015904137618e-05,9.772031808275236e-05
cnn_emb_874,cnn_emb_874,CNN Embedding,4.875959809501572e-05,9.751919619003144e-05
cnn_emb_550,cnn_emb_550,CNN Embedding,4.820695025748677e-05,9.641390051497354e-05
cnn_emb_1152,cnn_emb_1152,CNN Embedding,4.805422632544488e-05,9.610845265088976e-05
cnn_emb_704,cnn_emb_704,CNN Embedding,4.7054950332519405e-05,9.410990066503881e-05
cnn_emb_435,cnn_emb_435,CNN Embedding,4.6418796006360505e-05,9.283759201272102e-05
cnn_emb_257,cnn_emb_257,CNN Embedding,4.582406892516812e-05,9.164813785033622e-05
cnn_emb_677,cnn_emb_677,CNN Embedding,4.5552979631122845e-05,9.110595926224569e-05
cnn_emb_731,cnn_emb_731,CNN Embedding,4.486304121494753e-05,8.972608242989506e-05
cnn_emb_42,cnn_emb_42,CNN Embedding,4.47153496166785e-05,7.462634993126788e-05
cnn_emb_301,cnn_emb_301,CNN Embedding,4.46917876714076e-05,8.93835753428152e-05
cnn_emb_41,cnn_emb_41,CNN Embedding,4.3652548616536804e-05,5.3463731030429956e-05
cnn_emb_133,cnn_emb_133,CNN Embedding,4.3650395987846596e-05,8.730079197569319e-05
cnn_emb_1127,cnn_emb_1127,CNN Embedding,4.344791542893488e-05,8.689583085786976e-05
cnn_emb_1728,cnn_emb_1728,CNN Embedding,4.301288557590167e-05,8.602577115180333e-05
cnn_emb_1289,cnn_emb_1289,CNN Embedding,4.205207657732056e-05,8.410415315464113e-05
cnn_emb_240,cnn_emb_240,CNN Embedding,4.120113857942881e-05,6.438399673776356e-05
cnn_emb_1674,cnn_emb_1674,CNN Embedding,4.106455710056978e-05,8.212911420113957e-05
cnn_emb_576,cnn_emb_576,CNN Embedding,4.085363081171796e-05,8.170726162343592e-05
cnn_emb_10,cnn_emb_10,CNN Embedding,4.078271780697617e-05,6.635844851602025e-05
cnn_emb_1666,cnn_emb_1666,CNN Embedding,4.0531038124023966e-05,8.106207624804793e-05
cnn_emb_18,cnn_emb_18,CNN Embedding,4.0302644487604365e-05,8.060528897520873e-05
