FeatureType,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,R2_Mean,R2_Std,PctError_Mean,PctError_Std,N_Folds
demographics,267.07800542766824,35.39279019690187,361.851589782686,35.297069812371575,0.8040942459553804,0.05614049971472495,11.453981052578122,2.092134250424413,5
handcrafted,259.01932314731647,30.119788895502975,351.23021598374646,26.405836937385477,0.8162038247894603,0.04450245552071142,11.009019992676066,2.102692855904833,5
full,267.3741300847399,26.87983498430257,361.20062328625806,19.425974655312906,0.8078612323152878,0.03648193565802137,11.194104915643912,1.7583602125423365,5
