metric,value
val_auc,0.5961538461538461
optimal_threshold,0.5067158937454224
test_threshold_default,0.5
test_auc_default,0.6333333333333333
test_accuracy_default,0.6470588235294118
test_precision_default,0.4
test_recall_default,0.4
test_f1_default,0.4
test_specificity_default,0.75
test_threshold_optimal,0.5067158937454224
test_auc_optimal,0.6333333333333333
test_accuracy_optimal,0.7058823529411765
test_precision_optimal,0.5
test_recall_optimal,0.4
test_f1_optimal,0.4444444444444444
test_specificity_optimal,0.8333333333333334
