metric,value
val_auc,0.75
optimal_threshold,0.46079525351524353
test_threshold_default,0.5
test_auc_default,0.5303030303030303
test_accuracy_default,0.6470588235294118
test_precision_default,0.0
test_recall_default,0.0
test_f1_default,0.0
test_specificity_default,1.0
test_threshold_optimal,0.46079525351524353
test_auc_optimal,0.5303030303030303
test_accuracy_optimal,0.29411764705882354
test_precision_optimal,0.3125
test_recall_optimal,0.8333333333333334
test_f1_optimal,0.45454545454545453
test_specificity_optimal,0.0
