Configuration,Description,Val_AUC,Test_AUC_Optimal,Test_Acc_Optimal,Test_F1_Optimal
cnn_hand,CNN + Hand-crafted features,0.7308080808080809,0.5431313131313131,0.48766339869281045,0.34347626058152375
cnn_only,CNN features only (baseline),0.6212121212121212,0.5189393939393939,0.581045751633987,0.3878787878787878
full,CNN + Hand-crafted + Demographics (full),0.5504040404040405,0.4368181818181818,0.43627450980392163,0.32303921568627453
cnn_demo,CNN + Demographics,0.6354040404040404,0.3673737373737374,0.36004901960784313,0.3730392156862745
