fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
fold0,0.5,0.5,0.6666666666666666,0.0,0.0,1.0,0.0,inf
fold1,0.8712121212121213,0.4015151515151515,0.4117647058823529,0.3,0.5,0.36363636363636365,0.375,0.3206596439777356
fold2,0.5,0.5,0.6470588235294118,0.0,0.0,1.0,0.0,inf
fold3,0.7636363636363637,0.5636363636363636,0.625,0.3333333333333333,0.2,0.8181818181818182,0.25,0.3532834787221382
fold4,0.8055555555555556,0.6181818181818182,0.625,0.0,0.0,0.9090909090909091,0.0,0.38933098139933714
