config_id,hidden_dims,dropout,learning_rate,weight_decay,label_smoothing,batch_size,use_batch_norm,early_stopping_patience,val_auc,test_auc_default,test_auc_optimal,test_acc_default,test_acc_optimal,test_f1_default,test_f1_optimal,optimal_threshold,status
high_reg,"[256, 128]",0.7,0.0005,0.05,0.2,8,True,10,0.6666666666666667,0.5757575757575757,0.5757575757575757,0.47058823529411764,0.6470588235294118,0.47058823529411764,0.5,0.5506448745727539,success
med_reg_wide,"[512, 256]",0.5,0.0005,0.01,0.1,16,True,15,0.6527777777777779,0.5757575757575757,0.5757575757575757,0.4117647058823529,0.6470588235294118,0.5,0.5,0.5592580437660217,success
conservative,"[256, 128]",0.5,0.0005,0.01,0.1,16,True,10,0.5277777777777778,0.6666666666666667,0.6666666666666667,0.6470588235294118,0.35294117647058826,0.0,0.42105263157894735,0.46190792322158813,success
aggressive_learn,"[256, 128]",0.5,0.001,0.05,0.1,32,False,10,0.4305555555555555,0.5151515151515151,0.5151515151515151,0.6470588235294118,0.5882352941176471,0.0,0.36363636363636365,0.47088906168937683,success
single_layer_high_drop,[256],0.6,0.001,0.01,0.1,8,True,10,0.4027777777777778,0.42424242424242425,0.42424242424242425,0.4117647058823529,0.35294117647058826,0.2857142857142857,0.26666666666666666,0.47401225566864014,success
