model,original_auc_mean,original_auc_std,pca_auc_mean,pca_auc_std,improvement,best_n_components
XGBoost,0.4941375291375292,0.22341297549918535,0.6149568288085426,0.198464566025104,0.12081929967101346,150
RandomForest,0.5614724164724165,0.1274982289125814,0.5192805262842877,0.22452777781416447,-0.042191890188128855,100
