metric,value
val_auc,0.5272727272727273
optimal_threshold,0.5053479671478271
test_threshold_default,0.5
test_auc_default,0.6181818181818182
test_accuracy_default,0.4375
test_precision_default,0.3333333333333333
test_recall_default,0.8
test_f1_default,0.47058823529411764
test_specificity_default,0.2727272727272727
test_threshold_optimal,0.5053479671478271
test_auc_optimal,0.6181818181818182
test_accuracy_optimal,0.6875
test_precision_optimal,0.5
test_recall_optimal,0.6
test_f1_optimal,0.5454545454545454
test_specificity_optimal,0.7272727272727273
