metric,value
val_auc,0.5555555555555556
optimal_threshold,0.584612250328064
test_threshold_default,0.5
test_auc_default,0.6363636363636364
test_accuracy_default,0.375
test_precision_default,0.3333333333333333
test_recall_default,1.0
test_f1_default,0.5
test_specificity_default,0.09090909090909091
test_threshold_optimal,0.584612250328064
test_auc_optimal,0.6363636363636364
test_accuracy_optimal,0.4375
test_precision_optimal,0.35714285714285715
test_recall_optimal,1.0
test_f1_optimal,0.5263157894736842
test_specificity_optimal,0.18181818181818182
